"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007614","short-term memory","2/6","11/18870",4.62818437031097e-06,0.000893239583470017,0.000321537019411078,"23316/1827",2
"GO:0007613","memory","2/6","123/18870",0.000621438384639881,0.0483672252401467,0.0174106183029707,"23316/1827",2
"GO:0007519","skeletal muscle tissue development","2/6","166/18870",0.00112739829612406,0.0483672252401467,0.0174106183029707,"196541/1827",2
"GO:0060538","skeletal muscle organ development","2/6","178/18870",0.00129461086182601,0.0483672252401467,0.0174106183029707,"196541/1827",2
"GO:0007611","learning or memory","2/6","274/18870",0.00303205645122463,0.0483672252401467,0.0174106183029707,"23316/1827",2
"GO:0031987","locomotion involved in locomotory behavior","1/6","11/18870",0.00349298413256438,0.0483672252401467,0.0174106183029707,"1827",1
"GO:0034379","very-low-density lipoprotein particle assembly","1/6","12/18870",0.00381002332314739,0.0483672252401467,0.0174106183029707,"338",1
"GO:0050890","cognition","2/6","317/18870",0.00403565351539384,0.0483672252401467,0.0174106183029707,"23316/1827",2
"GO:0042159","lipoprotein catabolic process","1/6","15/18870",0.00476063660861226,0.0483672252401467,0.0174106183029707,"338",1
"GO:0070885","negative regulation of calcineurin-NFAT signaling cascade","1/6","15/18870",0.00476063660861226,0.0483672252401467,0.0174106183029707,"1827",1
"GO:0106057","negative regulation of calcineurin-mediated signaling","1/6","15/18870",0.00476063660861226,0.0483672252401467,0.0174106183029707,"1827",1
"GO:0051235","maintenance of location","2/6","350/18870",0.00489802016012433,0.0483672252401467,0.0174106183029707,"338/196541",2
"GO:0007517","muscle organ development","2/6","354/18870",0.00500792296977138,0.0483672252401467,0.0174106183029707,"196541/1827",2
"GO:0034374","low-density lipoprotein particle remodeling","1/6","16/18870",0.00507733966776625,0.0483672252401467,0.0174106183029707,"338",1
"GO:0061003","positive regulation of dendritic spine morphogenesis","1/6","17/18870",0.00539395873862625,0.0483672252401467,0.0174106183029707,"23316",1
"GO:0010744","positive regulation of macrophage derived foam cell differentiation","1/6","19/18870",0.00602694498673972,0.0483672252401467,0.0174106183029707,"338",1
"GO:0010885","regulation of cholesterol storage","1/6","19/18870",0.00602694498673972,0.0483672252401467,0.0174106183029707,"338",1
"GO:0042953","lipoprotein transport","1/6","20/18870",0.0063433121996237,0.0483672252401467,0.0174106183029707,"338",1
"GO:0044872","lipoprotein localization","1/6","21/18870",0.00665959549547535,0.0483672252401467,0.0174106183029707,"338",1
"GO:0050849","negative regulation of calcium-mediated signaling","1/6","21/18870",0.00665959549547535,0.0483672252401467,0.0174106183029707,"1827",1
"GO:0060537","muscle tissue development","2/6","433/18870",0.00741242451473699,0.0483672252401467,0.0174106183029707,"196541/1827",2
"GO:0071549","cellular response to dexamethasone stimulus","1/6","24/18870",0.00760794205890303,0.0483672252401467,0.0174106183029707,"196541",1
"GO:0010878","cholesterol storage","1/6","25/18870",0.00792388986467873,0.0483672252401467,0.0174106183029707,"338",1
"GO:0045540","regulation of cholesterol biosynthetic process","1/6","25/18870",0.00792388986467873,0.0483672252401467,0.0174106183029707,"338",1
"GO:0106118","regulation of sterol biosynthetic process","1/6","25/18870",0.00792388986467873,0.0483672252401467,0.0174106183029707,"338",1
"GO:0010884","positive regulation of lipid storage","1/6","27/18870",0.00855553400996534,0.0483672252401467,0.0174106183029707,"338",1
"GO:0034377","plasma lipoprotein particle assembly","1/6","27/18870",0.00855553400996534,0.0483672252401467,0.0174106183029707,"338",1
"GO:0019433","triglyceride catabolic process","1/6","28/18870",0.00887123038506143,0.0483672252401467,0.0174106183029707,"338",1
"GO:0065005","protein-lipid complex assembly","1/6","30/18870",0.00950237182910252,0.0483672252401467,0.0174106183029707,"338",1
"GO:0010880","regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","1/6","31/18870",0.00981781693361561,0.0483672252401467,0.0174106183029707,"196541",1
"GO:2000463","positive regulation of excitatory postsynaptic potential","1/6","32/18870",0.0101331783168311,0.0483672252401467,0.0174106183029707,"23316",1
"GO:0010743","regulation of macrophage derived foam cell differentiation","1/6","33/18870",0.0104484559965262,0.0483672252401467,0.0174106183029707,"338",1
"GO:0034368","protein-lipid complex remodeling","1/6","33/18870",0.0104484559965262,0.0483672252401467,0.0174106183029707,"338",1
"GO:0034369","plasma lipoprotein particle remodeling","1/6","33/18870",0.0104484559965262,0.0483672252401467,0.0174106183029707,"338",1
"GO:0034383","low-density lipoprotein particle clearance","1/6","34/18870",0.0107636499904754,0.0483672252401467,0.0174106183029707,"338",1
"GO:0050775","positive regulation of dendrite morphogenesis","1/6","34/18870",0.0107636499904754,0.0483672252401467,0.0174106183029707,"23316",1
"GO:0034367","protein-containing complex remodeling","1/6","35/18870",0.0110787603164502,0.0483672252401467,0.0174106183029707,"338",1
"GO:0010770","positive regulation of cell morphogenesis","1/6","36/18870",0.0113937869922187,0.0483672252401467,0.0174106183029707,"23316",1
"GO:0014808","release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","1/6","36/18870",0.0113937869922187,0.0483672252401467,0.0174106183029707,"196541",1
"GO:1903514","release of sequestered calcium ion into cytosol by endoplasmic reticulum","1/6","37/18870",0.011708730035547,0.0483672252401467,0.0174106183029707,"196541",1
"GO:0046461","neutral lipid catabolic process","1/6","38/18870",0.0120235894641979,0.0483672252401467,0.0174106183029707,"338",1
"GO:0046464","acylglycerol catabolic process","1/6","38/18870",0.0120235894641979,0.0483672252401467,0.0174106183029707,"338",1
