"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Direction"
"GO:0003016","respiratory system process","1/2","39/18870",0.00412938306713651,0.0155000576731833,NA,"9427",1,"Down-regulated"
"GO:0007585","respiratory gaseous exchange by respiratory system","1/2","74/18870",0.00782796557066834,0.0155000576731833,NA,"9427",1,"Down-regulated"
"GO:0007218","neuropeptide signaling pathway","1/2","110/18870",0.0116250432548874,0.0155000576731833,NA,"9427",1,"Down-regulated"
"GO:0016485","protein processing","1/2","245/18870",0.0257992496335497,0.0257992496335497,NA,"9427",1,"Down-regulated"
"GO:0007614","short-term memory","2/4","11/18870",1.85245171531134e-06,0.000350113374193842,7.99479161344892e-05,"23316/1827",2,"Up-regulated"
"GO:0007613","memory","2/4","123/18870",0.000250711861414415,0.0236922709036622,0.00541009806210052,"23316/1827",2,"Up-regulated"
"GO:0007519","skeletal muscle tissue development","2/4","166/18870",0.00045622222595781,0.0247747486372839,0.00565728039058,"196541/1827",2,"Up-regulated"
"GO:0060538","skeletal muscle organ development","2/4","178/18870",0.00052433330449278,0.0247747486372839,0.00565728039058,"196541/1827",2,"Up-regulated"
"GO:0007611","learning or memory","2/4","274/18870",0.00123640446018555,0.0322537365417746,0.00736509717745898,"23316/1827",2,"Up-regulated"
"GO:0050890","cognition","2/4","317/18870",0.00165067637928187,0.0322537365417746,0.00736509717745898,"23316/1827",2,"Up-regulated"
"GO:0051235","maintenance of location","2/4","350/18870",0.00200810216820032,0.0322537365417746,0.00736509717745898,"338/196541",2,"Up-regulated"
"GO:0007517","muscle organ development","2/4","354/18870",0.00205374348362136,0.0322537365417746,0.00736509717745898,"196541/1827",2,"Up-regulated"
"GO:0031987","locomotion involved in locomotory behavior","1/4","11/18870",0.0023298904671718,0.0322537365417746,0.00736509717745898,"1827",1,"Up-regulated"
"GO:0034379","very-low-density lipoprotein particle assembly","1/4","12/18870",0.00254149662010295,0.0322537365417746,0.00736509717745898,"338",1,"Up-regulated"
