"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Direction"
"GO:0003012","muscle system process","6/17","452/18870",1.80733770951651e-06,0.00100126509107215,0.000660153879160241,"384/85366/53632/2660/25802/89",6,"Down-regulated"
"GO:0014889","muscle atrophy","2/17","10/18870",3.42309470855408e-05,0.00632131489512987,0.00416776794339742,"2660/89",2,"Down-regulated"
"GO:0048630","skeletal muscle tissue growth","2/17","10/18870",3.42309470855408e-05,0.00632131489512987,0.00416776794339742,"2660/89",2,"Down-regulated"
"GO:0014874","response to stimulus involved in regulation of muscle adaptation","2/17","13/18870",5.92393740623471e-05,0.00660718071528737,0.00435624493293695,"53632/89",2,"Down-regulated"
"GO:0090257","regulation of muscle system process","4/17","247/18870",5.96315949033156e-05,0.00660718071528737,0.00435624493293695,"85366/53632/2660/89",4,"Down-regulated"
"GO:0043500","muscle adaptation","3/17","118/18870",0.000152046848744978,0.0132326317555664,0.00872453585252051,"53632/2660/89",3,"Down-regulated"
"GO:1901863","positive regulation of muscle tissue development","2/17","24/18870",0.000208397940887246,0.0132326317555664,0.00872453585252051,"2065/89",2,"Down-regulated"
"GO:0043501","skeletal muscle adaptation","2/17","25/18870",0.00022639951666855,0.0132326317555664,0.00872453585252051,"2660/89",2,"Down-regulated"
"GO:0006936","muscle contraction","4/17","351/18870",0.000231212912957953,0.0132326317555664,0.00872453585252051,"384/85366/25802/89",4,"Down-regulated"
"GO:0007517","muscle organ development","4/17","354/18870",0.00023885616887304,0.0132326317555664,0.00872453585252051,"2065/85366/2660/89",4,"Down-regulated"
"GO:0014850","response to muscle activity","2/17","28/18870",0.00028481035505148,0.0143440851544109,0.00945733906247498,"53632/2660",2,"Down-regulated"
"GO:0007519","skeletal muscle tissue development","3/17","166/18870",0.000415217149699967,0.0191691917444818,0.0126386272759551,"85366/2660/89",3,"Down-regulated"
"GO:0060538","skeletal muscle organ development","3/17","178/18870",0.000509145554167748,0.0199962320707661,0.0131839113215958,"85366/2660/89",3,"Down-regulated"
"GO:0060537","muscle tissue development","4/17","433/18870",0.000513283977250704,0.0199962320707661,0.0131839113215958,"2065/85366/2660/89",4,"Down-regulated"
"GO:0006941","striated muscle contraction","3/17","186/18870",0.000578765791969006,0.0199962320707661,0.0131839113215958,"384/85366/89",3,"Down-regulated"
"GO:0070884","regulation of calcineurin-NFAT signaling cascade","2/17","40/18870",0.000583980138295629,0.0199962320707661,0.0131839113215958,"2065/89",2,"Down-regulated"
"GO:0106056","regulation of calcineurin-mediated signaling","2/17","41/18870",0.000613602789175134,0.0199962320707661,0.0131839113215958,"2065/89",2,"Down-regulated"
"GO:0033173","calcineurin-NFAT signaling cascade","2/17","45/18870",0.000739245560240082,0.0225226803894496,0.0148496486702242,"2065/89",2,"Down-regulated"
"GO:1901861","regulation of muscle tissue development","2/17","46/18870",0.000772438497111086,0.0225226803894496,0.0148496486702242,"2065/89",2,"Down-regulated"
"GO:0097720","calcineurin-mediated signaling","2/17","48/18870",0.000840954965092773,0.0232944525330698,0.0153584933098522,"2065/89",2,"Down-regulated"
"GO:0014888","striated muscle adaptation","2/17","55/18870",0.0011030128389104,0.0290985291788743,0.0191852358447071,"2660/89",2,"Down-regulated"
"GO:0014823","response to activity","2/17","72/18870",0.00188151378913223,0.0465719096702976,0.0307057812190638,"53632/2660",2,"Down-regulated"
"GO:0035914","skeletal muscle cell differentiation","2/17","73/18870",0.00193349083468745,0.0465719096702976,0.0307057812190638,"85366/2660",2,"Down-regulated"
"GO:0050848","regulation of calcium-mediated signaling","2/17","83/18870",0.00249046857195272,0.0574883162025753,0.0379031839678769,"2065/89",2,"Down-regulated"
"GO:0006096","glycolytic process","2/17","89/18870",0.00285682424619526,0.063307225295687,0.0417397058286213,"53632/89",2,"Down-regulated"
"GO:0043502","regulation of muscle adaptation","2/17","93/18870",0.00311431758419792,0.066358920832525,0.0437517490573554,"53632/89",2,"Down-regulated"
"GO:0030198","extracellular matrix organization","7/24","321/18870",1.04244850322586e-07,2.52658682866973e-05,1.94602323132457e-05,"6624/1277/7837/1284/11173/1281/1282",7,"Up-regulated"
"GO:0043062","extracellular structure organization","7/24","322/18870",1.06476459617945e-07,2.52658682866973e-05,1.94602323132457e-05,"6624/1277/7837/1284/11173/1281/1282",7,"Up-regulated"
"GO:0045229","external encapsulating structure organization","7/24","323/18870",1.08748357044608e-07,2.52658682866973e-05,1.94602323132457e-05,"6624/1277/7837/1284/11173/1281/1282",7,"Up-regulated"
"GO:0038063","collagen-activated tyrosine kinase receptor signaling pathway","3/24","10/18870",2.15654030097643e-07,3.75777147445144e-05,2.89430408815258e-05,"1277/1284/1282",3,"Up-regulated"
"GO:0038065","collagen-activated signaling pathway","3/24","15/18870",8.14281307316327e-07,0.000113510814239896,8.74280982592267e-05,"1277/1284/1282",3,"Up-regulated"
"GO:0030199","collagen fibril organization","4/24","65/18870",1.29348999935724e-06,0.000150260421591999,0.000115733315731963,"1277/7837/11173/1281",4,"Up-regulated"
"GO:0060348","bone development","5/24","215/18870",6.52987211391427e-06,0.000650188694771178,0.000500787184676132,"1277/11173/2697/1281/162466",5,"Up-regulated"
"GO:0071711","basement membrane organization","3/24","36/18870",1.25558731584733e-05,0.00109393044893199,0.000842565172476499,"7837/1281/1282",3,"Up-regulated"
"GO:0060350","endochondral bone morphogenesis","3/24","61/18870",6.19824508363375e-05,0.00480019647032525,0.00369719882181662,"1277/1281/162466",3,"Up-regulated"
"GO:0071230","cellular response to amino acid stimulus","3/24","85/18870",0.000166730739995105,0.0116211325776588,0.00895080814710564,"1277/1281/1282",3,"Up-regulated"
"GO:0071229","cellular response to acid chemical","3/24","94/18870",0.000224583421283162,0.0142304222394877,0.0109605306080778,"1277/1281/1282",3,"Up-regulated"
"GO:0060349","bone morphogenesis","3/24","100/18870",0.000269567194687315,0.0156573612247549,0.0120595850254852,"1277/1281/162466",3,"Up-regulated"
"GO:0071559","response to transforming growth factor beta","4/24","293/18870",0.000473536215348448,0.0246210439471514,0.0189635768527482,"25878/1277/1284/1281",4,"Up-regulated"
"GO:0043931","ossification involved in bone maturation","2/24","26/18870",0.000494540337532453,0.0246210439471514,0.0189635768527482,"11173/162466",2,"Up-regulated"
"GO:0043200","response to amino acid","3/24","126/18870",0.000530997770525328,0.0246736964037436,0.0190041307345907,"1277/1281/1282",3,"Up-regulated"
"GO:0070977","bone maturation","2/24","29/18870",0.000616357514756886,0.0268500742365969,0.0206804166135534,"11173/162466",2,"Up-regulated"
"GO:0001101","response to acid chemical","3/24","141/18870",0.000736753525942062,0.0275585265967626,0.0212260795353756,"1277/1281/1282",3,"Up-regulated"
"GO:0001958","endochondral ossification","2/24","32/18870",0.000751236736497117,0.0275585265967626,0.0212260795353756,"1277/162466",2,"Up-regulated"
